"Task ID","Title","Description","Workstream","Week/Sprint","Priority","Status","Assignee","Estimated Effort (days)","Dependencies","Notes"
"BE-027","Server Room App: Status reporting","Implement status reporting to cloud (every 20s)","Backend","Week 4","P1","Backlog","","","BE-022",""
"BE-028","Server Room App: Session creation","Implement session creation logic (shift assignment, sync queue)","Backend","Week 3","P0","Backlog","","","BE-021",""
"BE-029","Server Room App: Fee calculation","Implement fee calculation engine (multi-day, daily caps)","Backend","Week 4","P0","Backlog","","","BE-021",""
"BE-030","Server Room App: Transaction creation","Implement transaction creation and sync queue","Backend","Week 4","P0","Backlog","","","BE-021",""
"BE-031","Server Room App: Offline mode","Implement offline detection and sync queue","Backend","Week 6","P0","Backlog","","","BE-022",""
"BE-032","Server Room App: Exponential backoff","Implement retry with exponential backoff","Backend","Week 6","P1","Backlog","","","BE-031",""
"BE-033","Server Room App: Logging","Implement structured logging (JSON to Loki)","Backend","Week 7","P1","Backlog","","","",""
"BE-034","Server Room App: Metrics","Implement Prometheus metrics endpoint","Backend","Week 7","P1","Backlog","","","",""
"BE-035","Server Room App: Unit tests","Write unit tests (80%+ coverage)","Backend","Week 8","P0","Backlog","","","BE-028;BE-029;BE-030",""
"BE-036","Server Room App: Integration tests","Write integration tests","Backend","Week 8","P0","Backlog","","","BE-028;BE-029;BE-030",""
"BE-037","Gate App: HTTP server","Implement HTTP server (receive commands from server room app)","Backend","Week 3","P0","Backlog","","","",""
"BE-038","Gate App: mDNS announcement","Implement mDNS announcement (parking-gate-{gate_id}.local)","Backend","Week 3","P0","Backlog","","","",""
"BE-039","Gate App: HAL interfaces","Implement hardware abstraction layer interfaces","Backend","Week 3-4","P0","Backlog","","","",""
"BE-040","Gate App: Hardware integration","Implement real hardware (printer, gate motor, scanner, sensors)","Backend","Week 4","P0","Backlog","","","BE-039",""
"BE-041","Gate App: Entry sequence","Implement entry sequence (button to session to print to open gate)","Backend","Week 3","P0","Backlog","","","BE-037;BE-040",""
"BE-042","Gate App: Exit sequence","Implement exit sequence (QR scan to fee to payment to open gate)","Backend","Week 4","P0","Backlog","","","BE-037;BE-040",""
"BE-043","Gate App: Unit tests","Write unit tests with hardware mocks (80%+ coverage)","Backend","Week 8","P0","Backlog","","","BE-041;BE-042",""
"FE-001","Dashboard: Project setup","Setup Next.js 14 app (App Router, TypeScript, Tailwind)","Frontend","Week 1","P0","Backlog","","","",""
"FE-002","Dashboard: Design system","Create UI component library (button, input, modal, table, card, badge)","Frontend","Week 1-2","P0","Backlog","","","FE-001",""
"FE-003","Dashboard: Auth context","Implement authentication context (user state, permissions)","Frontend","Week 2","P0","Backlog","","","FE-001",""
"FE-004","Dashboard: Login page","Implement login page (email + password form)","Frontend","Week 2","P0","Backlog","","","FE-002;FE-003",""
"FE-005","Dashboard: Protected routes","Implement protected routes (redirect to /login if not authenticated)","Frontend","Week 2","P0","Backlog","","","FE-003",""
"FE-006","Dashboard: Layout","Implement dashboard layout (sidebar, header, location selector)","Frontend","Week 2","P0","Backlog","","","FE-001",""
"FE-007","Dashboard: Gate status page","Implement gate list view (grid of gate cards)","Frontend","Week 3","P0","Backlog","","","FE-006",""
"FE-008","Dashboard: Gate config modal","Implement gate configuration modal","Frontend","Week 3","P0","Backlog","","","FE-007",""
"FE-009","Dashboard: Active sessions page","Implement active sessions list (table view)","Frontend","Week 4","P0","Backlog","","","FE-006",""
"FE-010","Dashboard: Revenue today widget","Implement revenue today card","Frontend","Week 4","P1","Backlog","","","FE-006",""
"FE-011","Dashboard: Alert counts widget","Implement alert counts card","Frontend","Week 4","P1","Backlog","","","FE-006",""
"FE-012","Dashboard: Rate management page","Implement rate list + create/edit modals","Frontend","Week 5","P0","Backlog","","","FE-006",""
"FE-013","Dashboard: Shift config page","Implement shift config list + create/edit modals","Frontend","Week 5","P0","Backlog","","","FE-006",""
"FE-014","Dashboard: User management page","Implement user list + create/edit modals","Frontend","Week 6","P0","Backlog","","","FE-006",""
"FE-015","Dashboard: Role/permission page","Implement role list + permission checkboxes","Frontend","Week 6","P0","Backlog","","","FE-006",""
"FE-016","Dashboard: Manual refresh buttons","Implement refresh configs and refresh data buttons","Frontend","Week 6","P1","Backlog","","","FE-006",""
"FE-017","Dashboard: Daily revenue report","Implement daily revenue report (chart + table + CSV export)","Frontend","Week 7","P0","Backlog","","","FE-006",""
"FE-018","Dashboard: Occupancy report","Implement occupancy report (chart + table + CSV export)","Frontend","Week 7","P0","Backlog","","","FE-006",""
"FE-019","Dashboard: Transaction report","Implement transaction report (table + filters + CSV export)","Frontend","Week 8","P0","Backlog","","","FE-006",""
"FE-020","Dashboard: Vehicle breakdown report","Implement vehicle breakdown report (pie chart + table)","Frontend","Week 8","P1","Backlog","","","FE-006",""
"FE-021","Dashboard: Operator activity report","Implement operator activity report (table)","Frontend","Week 8","P1","Backlog","","","FE-006",""
"FE-022","Gate App UI: Project setup","Setup Electron + React app (or Tauri + React)","Frontend","Week 9","P0","Backlog","","","",""
"FE-023","Gate App UI: Entry screens","Implement entry screens (idle, processing, success)","Frontend","Week 9","P0","Backlog","","","FE-022",""
"FE-024","Gate App UI: Exit screens","Implement exit screens (idle, fee display, payment, success/failed)","Frontend","Week 9-10","P0","Backlog","","","FE-022",""
"FE-025","Gate App UI: State management","Implement state management (Zustand)","Frontend","Week 9","P0","Backlog","","","FE-022",""
"FE-026","Gate App UI: Hardware integration","Implement QR scanner, payment terminal, receipt button listeners","Frontend","Week 10","P0","Backlog","","","FE-022",""
"FE-027","Server Room App UI: Project setup","Setup Electron + React app (or Tauri + React)","Frontend","Week 9","P0","Backlog","","","",""
"FE-028","Server Room App UI: Monitoring screen","Implement gate status grid (cards for each gate)","Frontend","Week 9","P0","Backlog","","","FE-027",""
"FE-029","Server Room App UI: Alert notifications","Implement alert banner + audio alert","Frontend","Week 10","P0","Backlog","","","FE-027",""
"FE-030","Server Room App UI: Offline mode screen","Implement offline banner + sync status","Frontend","Week 10","P1","Backlog","","","FE-027",""
"FE-031","Server Room App UI: Manual refresh","Implement refresh configs and refresh data buttons","Frontend","Week 10","P1","Backlog","","","FE-027",""
"INF-001","Cloud: Provider selection","Choose cloud provider (DigitalOcean or AWS)","Infra","Week 1","P0","Backlog","","","",""
"INF-002","Cloud: Network setup","Setup VPC, subnets, security groups","Infra","Week 1","P0","Backlog","","","INF-001",""
"INF-003","Cloud: Backend server","Provision server (Ubuntu 22.04, SSH, firewall)","Infra","Week 1","P0","Backlog","","","INF-001",""
"INF-004","Cloud: PostgreSQL setup","Install and configure PostgreSQL 15","Infra","Week 1-2","P0","Backlog","","","INF-003",""
"INF-005","Cloud: Domain & SSL","Setup domain, DNS, SSL certificate (Let's Encrypt)","Infra","Week 2","P0","Backlog","","","INF-003",""
"INF-006","Cloud: Nginx reverse proxy","Setup Nginx (HTTP to HTTPS, proxy to backend)","Infra","Week 2","P0","Backlog","","","INF-003;INF-005",""
"INF-007","Cloud: Loki setup","Install and configure Loki (log aggregation)","Infra","Week 3","P0","Backlog","","","INF-003",""
"INF-008","Cloud: Promtail setup","Install Promtail on backend server","Infra","Week 3","P0","Backlog","","","INF-007",""
"INF-009","Cloud: Prometheus setup","Install and configure Prometheus","Infra","Week 3","P0","Backlog","","","INF-003",""
"INF-010","Cloud: Node exporter","Install node_exporter on backend server","Infra","Week 3","P1","Backlog","","","INF-009",""
"INF-011","Cloud: PostgreSQL exporter","Install postgres_exporter","Infra","Week 4","P1","Backlog","","","INF-009",""
"INF-012","Cloud: Grafana setup","Install Grafana, configure data sources, create dashboards","Infra","Week 4","P0","Backlog","","","INF-007;INF-009",""
"INF-013","Cloud: Alertmanager setup","Install Alertmanager, configure alerts (email, Telegram)","Infra","Week 4","P0","Backlog","","","INF-009",""
"INF-014","Cloud: Backup script","Create PostgreSQL backup script (daily to S3)","Infra","Week 5","P0","Backlog","","","INF-004",""
"INF-015","Cloud: DR plan","Document disaster recovery plan (RTO, RPO)","Infra","Week 5","P1","Backlog","","","INF-014",""
"INF-016","Cloud: App security","Implement rate limiting, CORS, input validation, CSRF protection","Infra","Week 7","P0","Backlog","","","",""
"INF-017","Cloud: Network security","Harden SSH, configure firewall rules, SSL/TLS","Infra","Week 7","P0","Backlog","","","INF-003",""
"INF-018","Cloud: Secrets management","Setup environment variables, document secrets","Infra","Week 7","P0","Backlog","","","",""
"INF-019","Cloud: Audit logging","Implement audit log table and logging","Infra","Week 8","P1","Backlog","","","",""
"INF-020","Location: Server room setup","Setup server room mini PC (Ubuntu, network, app)","Infra","Week 9","P0","Backlog","","","",""
"INF-021","Location: Gate mini PCs setup","Setup gate mini PCs (Ubuntu, network, app)","Infra","Week 9","P0","Backlog","","","INF-020",""
"INF-022","Location: LAN setup","Setup network switch, router, IP scheme","Infra","Week 9","P0","Backlog","","","INF-020;INF-021",""
"INF-023","Location: Internet setup","Setup internet connection (fiber + 4G backup)","Infra","Week 9","P0","Backlog","","","INF-020",""
"INF-024","Location: Local monitoring","Install Promtail + node_exporter on server room PC","Infra","Week 10","P1","Backlog","","","INF-020",""
"INF-025","Location: Local backup","Setup SQLite backup script (daily to local dir)","Infra","Week 10","P1","Backlog","","","INF-020",""
"INF-026","CI/CD: Pipeline setup","Setup CI/CD pipeline (GitHub Actions)","Infra","Week 11","P0","Backlog","","","",""
"INF-027","CI/CD: Artifact storage","Setup artifact storage (S3 or GitHub Releases)","Infra","Week 11","P0","Backlog","","","INF-026",""
"INF-028","CI/CD: Deployment scripts","Create deployment scripts (backend, server room, gate, dashboard)","Infra","Week 11-12","P0","Backlog","","","INF-026;INF-027",""
"INF-029","CI/CD: USB packages","Create USB installer packages (server room app, gate app)","Infra","Week 12","P0","Backlog","","","",""
"QA-001","Test strategy document","Create test strategy document (scope, approach, tools)","QA","Week 1","P0","Backlog","","","",""
"QA-002","Test environment setup","Setup local dev environment (Docker Compose, mocks)","QA","Week 1-2","P0","Backlog","","","",""
"QA-003","Bug tracking setup","Setup bug tracking (GitHub Issues)","QA","Week 2","P0","Backlog","","","",""
"QA-004","Test case management","Setup test case management (TestRail or markdown)","QA","Week 2","P1","Backlog","","","",""
"QA-005","Backend unit tests","Write backend unit tests (80%+ coverage)","QA","Week 3-4","P0","Backlog","","","",""
"QA-006","Server room app unit tests","Write server room app unit tests (80%+ coverage)","QA","Week 3-4","P0","Backlog","","","",""
"QA-007","Gate app unit tests","Write gate app unit tests (80%+ coverage)","QA","Week 3-4","P0","Backlog","","","",""
"QA-008","Backend integration tests","Write backend integration tests","QA","Week 3-4","P0","Backlog","","","",""
"QA-009","Server room app integration tests","Write server room app integration tests","QA","Week 4","P0","Backlog","","","",""
"QA-010","Dashboard E2E tests","Write dashboard E2E tests (Playwright/Cypress)","QA","Week 5","P0","Backlog","","","",""
"QA-011","API E2E tests","Write API E2E tests (Postman/Bruno)","QA","Week 5","P0","Backlog","","","",""
"QA-012","Hardware integration E2E tests","Test with real hardware (pilot location)","QA","Week 5-6","P0","Backlog","","","",""
"QA-013","Performance testing","Run load tests (k6/JMeter)","QA","Week 7","P0","Backlog","","","",""
"QA-014","Security testing","Run security tests (OWASP ZAP)","QA","Week 7-8","P0","Backlog","","","",""
"QA-015","Offline testing","Test offline scenarios (internet/LAN/server room failure)","QA","Week 7-8","P0","Backlog","","","",""
"QA-016","UAT planning","Create UAT plan (scope, participants, schedule)","QA","Week 9","P0","Backlog","","","",""
"QA-017","UAT execution","Execute UAT with AMB staff (5 days)","QA","Week 9-10","P0","Backlog","","","QA-016",""
"QA-018","Usability testing","Conduct usability testing (5-7 users)","QA","Week 9-10","P1","Backlog","","","QA-016",""
"QA-019","Regression testing","Run full regression test suite","QA","Week 11","P0","Backlog","","","",""
"QA-020","Smoke testing","Run smoke tests on production","QA","Week 12","P0","Backlog","","","",""
"QA-021","QA documentation","Create QA documentation (test plan, test cases, metrics)","QA","Week 11-12","P1","Backlog","","","",""
"QA-022","QA handoff","QA handoff meeting (dev team, operations)","QA","Week 12","P0","Backlog","","","QA-021",""
"DES-001","User research","Interview AMB staff, observe driver behavior","Design","Week -2 to -1","P0","Backlog","","","",""
"DES-002","Competitive analysis","Analyze AMB current system + 2-3 competitors","Design","Week -2 to -1","P1","Backlog","","","",""
"DES-003","Technical constraints","Document hardware specs, network constraints, accessibility","Design","Week -2 to -1","P0","Backlog","","","",""
"DES-004","Dashboard information architecture","Create sitemap, navigation structure, page inventory","Design","Week 1","P0","Backlog","","","DES-001",""
"DES-005","User flows","Create user flows (all apps)","Design","Week 1-2","P0","Backlog","","","DES-004",""
"DES-006","Dashboard wireframes","Create dashboard wireframes (all pages)","Design","Week 3","P0","Backlog","","","DES-005",""
"DES-007","Gate app wireframes","Create gate app wireframes (all screens)","Design","Week 3","P0","Backlog","","","DES-005",""
"DES-008","Server room app wireframes","Create server room app wireframes (all screens)","Design","Week 3-4","P0","Backlog","","","DES-005",""
"DES-009","Hardware interaction mockups","Create hardware placement mockups","Design","Week 4","P0","Backlog","","","DES-005",""
"DES-010","Dashboard visual design","Create dashboard high-fidelity mockups","Design","Week 5-6","P0","Backlog","","","DES-006",""
"DES-011","Gate app visual design","Create gate app high-fidelity mockups","Design","Week 5-6","P0","Backlog","","","DES-007",""
"DES-012","Server room app visual design","Create server room app high-fidelity mockups","Design","Week 5-6","P0","Backlog","","","DES-008",""
"DES-013","Interactive prototypes","Create interactive prototypes (Figma)","Design","Week 6","P1","Backlog","","","DES-010;DES-011;DES-012",""
"DES-014","Design system finalization","Finalize design system (colors, typography, components)","Design","Week 7","P0","Backlog","","","DES-010;DES-011;DES-012",""
"DES-015","Component library","Create component library (React components)","Design","Week 7","P0","Backlog","","","DES-014",""
"DES-016","Usability testing","Conduct usability testing, iterate on designs","Design","Week 8","P0","Backlog","","","DES-013",""
"DES-017","Design handoff","Handoff final designs to dev team","Design","Week 9-10","P0","Backlog","","","DES-015;DES-016",""
